Minute,Stor_O4L23,Stor_O4L28,Stor_O4L32,Stor_O4L33,Stor_O4L47,Stor_O3L53,Stor_O3L55,Stor_O3L60,Stor_O3L66,Stor_O3L67,Stor_O3L68,Stor_O3L73,Stor_O2L84,Stor_O2L88,Stor_O2L89,Stor_O2L100,Stor_O2L110,Stor_O1L130
61,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808,-0.143801808
62,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648,-0.068177648
63,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571,-0.123927571
64,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436,-0.013139436
65,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726,0.019870726
66,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677,0.048428677
67,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168,0.070691168
68,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577,0.049087577
69,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822,0.072667822
70,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992,-0.002999992
71,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259,-0.000578259
72,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623,-0.000257623
73,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988
74,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073,-0.000164073
75,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988,-0.019999988
76,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918,-0.000222918
77,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697,-0.001312697
78,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05,-4.8905E-05
79,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829,-0.001531829
